trending_month,category,cat_cnt,sum_comment_cnt,sum_likes_cnt,country
17-11,Autos & Vehicles,35,104217,533279,Canada
17-11,Comedy,386,2281047,22407121,Canada
17-11,Education,82,190311,1368173,Canada
17-11,Entertainment,1072,3418516,25932644,Canada
17-11,Film & Animation,166,809517,7205709,Canada
17-11,Gaming,93,275210,1961832,Canada
17-11,Howto & Style,147,475595,3874488,Canada
17-11,Music,292,5537612,53649345,Canada
17-11,News & Politics,307,565880,1732272,Canada
17-11,Nonprofits & Activism,7,9703,10423,Canada
17-11,People & Blogs,362,1874917,8654292,Canada
17-11,Pets & Animals,35,352149,1762899,Canada
17-11,Science & Technology,127,894139,5244732,Canada
17-11,Shows,17,15061,89949,Canada
17-11,Sports,236,552013,5114721,Canada
17-11,Travel & Events,34,41288,237850,Canada
17-12,Autos & Vehicles,37,134051,554123,Canada
17-12,Comedy,638,4189826,46056461,Canada
17-12,Education,173,500755,3583438,Canada
17-12,Entertainment,1950,16046097,97353572,Canada
17-12,Film & Animation,328,1210037,8630871,Canada
17-12,Gaming,257,1591275,8650191,Canada
17-12,Howto & Style,302,2223270,9827960,Canada
17-12,Music,592,6691771,81668529,Canada
17-12,News & Politics,568,1095519,3308977,Canada
17-12,Nonprofits & Activism,12,171586,619512,Canada
17-12,People & Blogs,649,3001550,17842236,Canada
17-12,Pets & Animals,61,342213,1713309,Canada
17-12,Science & Technology,164,838741,5843538,Canada
17-12,Shows,24,11597,81941,Canada
17-12,Sports,371,937407,9289041,Canada
17-12,Travel & Events,68,98057,574482,Canada
18-01,Autos & Vehicles,39,108100,510269,Canada
18-01,Comedy,490,2755022,24947102,Canada
18-01,Education,132,303762,2427844,Canada
18-01,Entertainment,1842,6706344,44161683,Canada
18-01,Film & Animation,300,1449698,9042982,Canada
18-01,Gaming,259,2285738,11252224,Canada
18-01,Howto & Style,232,868220,4136778,Canada
18-01,Music,526,5619022,66734600,Canada
18-01,News & Politics,678,1723487,5585902,Canada
18-01,Nonprofits & Activism,24,2784595,8440368,Canada
18-01,People & Blogs,628,1997673,12913327,Canada
18-01,Pets & Animals,53,251644,1211638,Canada
18-01,Science & Technology,121,791639,4441224,Canada
18-01,Shows,16,10878,53555,Canada
18-01,Sports,393,1060424,8121904,Canada
18-01,Travel & Events,51,84376,498446,Canada
18-02,Autos & Vehicles,62,125038,518089,Canada
18-02,Comedy,507,1970854,22200048,Canada
18-02,Education,161,377938,2903080,Canada
18-02,Entertainment,1738,4976157,37666963,Canada
18-02,Film & Animation,261,1641735,13428632,Canada
18-02,Gaming,144,703796,4485441,Canada
18-02,Howto & Style,288,1426772,5910777,Canada
18-02,Music,496,4599067,63771571,Canada
18-02,News & Politics,598,1485583,6117455,Canada
18-02,Nonprofits & Activism,4,2272,2368,Canada
18-02,People & Blogs,582,1777092,12480818,Canada
18-02,Pets & Animals,45,232432,721872,Canada
18-02,Science & Technology,163,998922,7554852,Canada
18-02,Shows,9,5413,29797,Canada
18-02,Sports,449,1340983,8546495,Canada
18-02,Travel & Events,49,76800,446164,Canada
18-03,Autos & Vehicles,77,251250,1108736,Canada
18-03,Comedy,549,2256667,22115045,Canada
18-03,Education,152,368498,2982345,Canada
18-03,Entertainment,2132,7740659,55760559,Canada
18-03,Film & Animation,355,1556111,14490888,Canada
18-03,Gaming,197,1284984,6369308,Canada
18-03,Howto & Style,334,668041,6415288,Canada
18-03,Music,501,6202195,68733871,Canada
18-03,News & Politics,515,944122,3550199,Canada
18-03,Nonprofits & Activism,13,214678,967943,Canada
18-03,People & Blogs,670,1571074,12416995,Canada
18-03,Pets & Animals,60,261236,1164847,Canada
18-03,Science & Technology,147,483273,4087201,Canada
18-03,Shows,4,823,12805,Canada
18-03,Sports,424,1393048,12509622,Canada
18-03,Travel & Events,58,128328,860402,Canada
18-04,Autos & Vehicles,14,41269,186066,Canada
18-04,Comedy,174,1034528,10549773,Canada
18-04,Education,40,95299,1108021,Canada
18-04,Entertainment,541,1818634,16724861,Canada
18-04,Film & Animation,85,380768,3253425,Canada
18-04,Gaming,49,147724,1253345,Canada
18-04,Howto & Style,77,607983,2842031,Canada
18-04,Music,185,1765269,21340003,Canada
18-04,News & Politics,170,417706,1632825,Canada
18-04,Nonprofits & Activism,6,2104,19458,Canada
18-04,People & Blogs,196,562250,5222723,Canada
18-04,Pets & Animals,11,31433,155114,Canada
18-04,Science & Technology,51,201596,1412746,Canada
18-04,Shows,4,2793,35161,Canada
18-04,Sports,173,350338,2004055,Canada
18-04,Travel & Events,23,29463,166726,Canada
