trending_month,category,cat_cnt,sum_views_cnt,sum_likes_cnt,country
17-11,Autos & Vehicles,35,15981381,533279,Canada
17-11,Comedy,386,399313760,22407121,Canada
17-11,Education,82,33946715,1368173,Canada
17-11,Entertainment,1072,848366090,25932644,Canada
17-11,Film & Animation,166,315780362,7205709,Canada
17-11,Gaming,93,47057108,1961832,Canada
17-11,Howto & Style,147,105799045,3874488,Canada
17-11,Music,292,1185554206,53649345,Canada
17-11,News & Politics,307,90114460,1732272,Canada
17-11,Nonprofits & Activism,7,5393821,10423,Canada
17-11,People & Blogs,362,241083697,8654292,Canada
17-11,Pets & Animals,35,37932939,1762899,Canada
17-11,Science & Technology,127,172518262,5244732,Canada
17-11,Shows,17,8788970,89949,Canada
17-11,Sports,236,229429223,5114721,Canada
17-11,Travel & Events,34,8376484,237850,Canada
17-12,Autos & Vehicles,37,18804882,554123,Canada
17-12,Comedy,638,751932767,46056461,Canada
17-12,Education,173,85363810,3583438,Canada
17-12,Entertainment,1950,3040301896,97353572,Canada
17-12,Film & Animation,328,316219519,8630871,Canada
17-12,Gaming,257,222415710,8650191,Canada
17-12,Howto & Style,302,356349286,9827960,Canada
17-12,Music,592,2072453518,81668529,Canada
17-12,News & Politics,568,173312348,3308977,Canada
17-12,Nonprofits & Activism,12,5508110,619512,Canada
17-12,People & Blogs,649,449986249,17842236,Canada
17-12,Pets & Animals,61,48713489,1713309,Canada
17-12,Science & Technology,164,157811929,5843538,Canada
17-12,Shows,24,13949586,81941,Canada
17-12,Sports,371,425797940,9289041,Canada
17-12,Travel & Events,68,18657683,574482,Canada
18-01,Autos & Vehicles,39,25562259,510269,Canada
18-01,Comedy,490,463675683,24947102,Canada
18-01,Education,132,62660973,2427844,Canada
18-01,Entertainment,1842,1503926197,44161683,Canada
18-01,Film & Animation,300,274304683,9042982,Canada
18-01,Gaming,259,249417658,11252224,Canada
18-01,Howto & Style,232,107452134,4136778,Canada
18-01,Music,526,1631946015,66734600,Canada
18-01,News & Politics,678,245459976,5585902,Canada
18-01,Nonprofits & Activism,24,88835309,8440368,Canada
18-01,People & Blogs,628,347758834,12913327,Canada
18-01,Pets & Animals,53,29493815,1211638,Canada
18-01,Science & Technology,121,94907400,4441224,Canada
18-01,Shows,16,10704513,53555,Canada
18-01,Sports,393,393323441,8121904,Canada
18-01,Travel & Events,51,14819847,498446,Canada
18-02,Autos & Vehicles,62,60873870,518089,Canada
18-02,Comedy,507,468864427,22200048,Canada
18-02,Education,161,68353646,2903080,Canada
18-02,Entertainment,1738,1687839476,37666963,Canada
18-02,Film & Animation,261,525672915,13428632,Canada
18-02,Gaming,144,96878210,4485441,Canada
18-02,Howto & Style,288,176563145,5910777,Canada
18-02,Music,496,1438678840,63771571,Canada
18-02,News & Politics,598,255901631,6117455,Canada
18-02,Nonprofits & Activism,4,1965553,2368,Canada
18-02,People & Blogs,582,606395832,12480818,Canada
18-02,Pets & Animals,45,18613469,721872,Canada
18-02,Science & Technology,163,259174792,7554852,Canada
18-02,Shows,9,6710607,29797,Canada
18-02,Sports,449,504823651,8546495,Canada
18-02,Travel & Events,49,27260446,446164,Canada
18-03,Autos & Vehicles,77,31393896,1108736,Canada
18-03,Comedy,549,468180412,22115045,Canada
18-03,Education,152,70898839,2982345,Canada
18-03,Entertainment,2132,1838103777,55760559,Canada
18-03,Film & Animation,355,539286719,14490888,Canada
18-03,Gaming,197,155070036,6369308,Canada
18-03,Howto & Style,334,202334455,6415288,Canada
18-03,Music,501,1830472689,68733871,Canada
18-03,News & Politics,515,161076813,3550199,Canada
18-03,Nonprofits & Activism,13,9668205,967943,Canada
18-03,People & Blogs,670,435168630,12416995,Canada
18-03,Pets & Animals,60,27493473,1164847,Canada
18-03,Science & Technology,147,142238574,4087201,Canada
18-03,Shows,4,2430813,12805,Canada
18-03,Sports,424,542812562,12509622,Canada
18-03,Travel & Events,58,24051684,860402,Canada
18-04,Autos & Vehicles,14,5271415,186066,Canada
18-04,Comedy,174,181075350,10549773,Canada
18-04,Education,40,22363185,1108021,Canada
18-04,Entertainment,541,453879994,16724861,Canada
18-04,Film & Animation,85,104772699,3253425,Canada
18-04,Gaming,49,25534679,1253345,Canada
18-04,Howto & Style,77,79661197,2842031,Canada
18-04,Music,185,476839614,21340003,Canada
18-04,News & Politics,170,82555713,1632825,Canada
18-04,Nonprofits & Activism,6,1400733,19458,Canada
18-04,People & Blogs,196,150164474,5222723,Canada
18-04,Pets & Animals,11,9262179,155114,Canada
18-04,Science & Technology,51,38468815,1412746,Canada
18-04,Shows,4,2606307,35161,Canada
18-04,Sports,173,174471438,2004055,Canada
18-04,Travel & Events,23,8917688,166726,Canada
